1, for fifteen years one painting has been missing among the portraits of twentieth century maryland governors hanging in the state house in annapolis spiro t. agnew 
2, governor sununu and i fell asleep and she went up around thirty five floors below the eight democrats who run this is julie mccarthy reporting 
3, what does the white house have to say about today's announcement by senator dole 
4, joseph <unk> and <unk> what's your assessment of the republican party's bill senators about what happens today but they had to leave 
5, well what exactly is educational programming for children and how much should broadcasters be required to air 
6, yeah but and getting his lesson 
7, rush hour subway collision in new york 
8, it's a great line that i resign school but the president his tax bill passed days now the people it's a tragedy to see 
9, japanese consumers bought more imports in april as the stronger yen made for better bargains 
10, she thinks that this was a letter of the outside 
11, a final note from the news 
12, and he just two weeks ago when he was arguing with one of the track record he has found some evidence that they be allowed to explore it said that he did not say we're not going to detect showing it's sailing for the record 
13, at the o. j. simpson double murder trial the jury has finally seen a couple of videotapes that most of the public saw months ago 
14, well not that type b. office i said stocks may be on top of the big house budget director leon panetta director of the new movie called the <unk> 
15, the mexican government is denying a claim of aerial attacks on two towns in the southern state of chiapas on friday 
16, let's take 
17, the u. s. and britain forged a united front today to fight back against weapons threats from iran and iraq 
18, well people didn't think that the security council to wait 
19, as the bosnian serbs the bosnian go <unk> and the international community <unk> over what to do next life in sarajevo deteriorates 
20, it is today is doing the testing and the like hanging out and i think you could then you were saying you are you seeing anything that's in the stains mathematicians capri who are already here and we have been giving people hate this but we are not when you 
21, if there is one group of people that commentator daniel pinkwater <unk> more than politicians it's doctors 
22, but a person for the more successful with westech that plan 
23, the countdown to the ninety six <unk> olympic games is moving along and atlanta officials are focusing on a major hurdle safety and security for athletes adn visitors 
24, and the actual have my profession and confiscating weapons 
25, while american businesses are standing on the sidelines america's closest trading partners are taking advantage of a big head start here 
26, democrats want to tell you may have neglected the security council members and everybody is doctor john kitzhaber also to see that as a small price to dash over at any one program 
27, russian president boris yeltsin has told leaders of the former soviet republics that measures are being taken to stop the fighting in chechnya 
28, we've always been pressure on the grand jury 
29, in our <unk> a letter from david wright of new york city about <unk> <unk> account of a day in her life as a nine hundred eleven operator 
30, in a report that we've had been abused and they dropped eight thirty i think it represents a presumption that they have cable television 
31, president clinton will have more to say about bosnia today 
32, tuesday after saying now and we'll get blown e. m. a. a. say otherwise 
33, in other news today the future may be the survival of the nation's oldest mainstream civil rights organization 
34, experts agree that there should be about training but i was intrigued enough to be prepared 
35, the long arm of the colombian drug dealers former justice department officials are accused of taking bribes the judge removes two more jurors from the o. j. simpson trial 
